"zip","name","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"00501","HOLTSVILLE, NY","J",49,"J",261,"J",850,5,"HOLTSVILLE","NY","SUFFOLK"
"01001","AGAWAM, MA","G",7944,"G",100626,"G",409249,469,"AGAWAM","MA","HAMPDEN"
"01002","AMHERST, MA","H",7732,"H",73903,"H",294936,523,"AMHERST","MA","HAMPSHIRE"
"01003","AMHERST, MA","G",239,"H",2515,"H",9481,16,"AMHERST","MA","HAMPSHIRE"
"01004","AMHERST, MA","J",197,"H",1439,"H",5892,9,"AMHERST","MA","HAMPSHIRE"
"01005","BARRE, MA","H",1089,"H",8756,"H",36446,99,"BARRE","MA","WORCESTER"
"01007","BELCHERTOWN, MA","G",1794,"G",14231,"G",58020,223,"BELCHERTOWN","MA","HAMPSHIRE"
"01008","BLANDFORD, MA","G",285,"G",1193,"H",3898,23,"BLANDFORD","MA","HAMPDEN"
"01009","BONDSVILLE, MA","G",121,"G",1322,"H",5151,15,"BONDSVILLE","MA","HAMPDEN"
"01010","BRIMFIELD, MA","G",463,"H",5493,"G",22287,77,"BRIMFIELD","MA","HAMPDEN"
"01011","CHESTER, MA","J",32,"G",304,"H",1327,11,"CHESTER","MA","HAMPDEN"
"01012","CHESTERFIELD, MA","J",64,"G",534,"G",2724,10,"CHESTERFIELD","MA","HAMPSHIRE"
"01013","CHICOPEE, MA","H",5494,"H",55956,"H",214392,302,"CHICOPEE","MA","HAMPDEN"
"01020","CHICOPEE, MA","G",8683,"G",94936,"G",374002,530,"CHICOPEE","MA","HAMPDEN"
"01021","CHICOPEE, MA","G",203,"G",1356,"G",5982,6,"CHICOPEE","MA","HAMPDEN"
"01022","CHICOPEE, MA","G",3097,"G",38229,"G",150774,71,"CHICOPEE","MA","HAMPDEN"
"01026","CUMMINGTON, MA","H",822,"H",2802,"H",6776,21,"CUMMINGTON","MA","HAMPSHIRE"
"01027","EASTHAMPTON, MA","G",4051,"G",41628,"G",161318,419,"EASTHAMPTON","MA","HAMPSHIRE"
"01028","EAST LONGMEADOW, MA","G",8714,"G",91385,"G",367214,513,"EAST LONGMEADOW","MA","HAMPDEN"
"01029","EAST OTIS, MA","G",132,"H",1172,"H",5833,17,"EAST OTIS","MA","BERKSHIRE"
"01030","FEEDING HILLS, MA","H",1091,"G",8742,"G",37719,220,"FEEDING HILLS","MA","HAMPDEN"
"01031","GILBERTVILLE, MA","G",116,"G",760,"G",3030,18,"GILBERTVILLE","MA","WORCESTER"
"01032","GOSHEN, MA","G",116,"G",994,"G",4391,25,"GOSHEN","MA","HAMPSHIRE"
"01033","GRANBY, MA","G",821,"G",7653,"G",30170,127,"GRANBY","MA","HAMPSHIRE"
"01034","GRANVILLE, MA","G",102,"H",1178,"H",5145,30,"GRANVILLE","MA","HAMPDEN"
"01035","HADLEY, MA","G",5212,"G",44054,"G",170195,306,"HADLEY","MA","HAMPSHIRE"
"01036","HAMPDEN, MA","G",1002,"G",9138,"G",38937,117,"HAMPDEN","MA","HAMPDEN"
"01037","HARDWICK, MA","J",283,"J",3488,"J",14580,18,"HARDWICK","MA","WORCESTER"
"01038","HATFIELD, MA","H",1513,"H",19429,"H",80289,61,"HATFIELD","MA","HAMPSHIRE"
"01039","HAYDENVILLE, MA","H",285,"H",2641,"H",10642,33,"HAYDENVILLE","MA","HAMPSHIRE"
"01040","HOLYOKE, MA","G",17539,"G",206756,"G",779494,837,"HOLYOKE","MA","HAMPDEN"
"01041","HOLYOKE, MA","G",1025,"H",10169,"H",37369,25,"HOLYOKE","MA","HAMPDEN"
"01050","HUNTINGTON, MA","G",204,"H",1397,"H",5449,31,"HUNTINGTON","MA","HAMPSHIRE"
"01053","LEEDS, MA","H",1674,"H",31509,"H",123682,32,"LEEDS","MA","HAMPSHIRE"
"01054","LEVERETT, MA","H",69,"G",475,"G",2419,29,"LEVERETT","MA","FRANKLIN"
"01056","LUDLOW, MA","G",4498,"G",47189,"G",211369,403,"LUDLOW","MA","HAMPDEN"
"01057","MONSON, MA","G",833,"H",9570,"G",43130,142,"MONSON","MA","HAMPDEN"
"01059","NORTH AMHERST, MA","H",68,"G",600,"G",2277,7,"NORTH AMHERST","MA","HAMPSHIRE"
"01060","NORTHAMPTON, MA","G",12339,"G",145725,"G",558497,710,"NORTHAMPTON","MA","HAMPSHIRE"
"01061","NORTHAMPTON, MA","G",100,"H",1221,"H",5290,22,"NORTHAMPTON","MA","HAMPSHIRE"
"01062","FLORENCE, MA","G",1738,"G",20212,"G",90211,196,"FLORENCE","MA","HAMPSHIRE"
"01066","NORTH HATFIELD, MA","J",71,"J",1349,"J",4686,7,"NORTH HATFIELD","MA","HAMPSHIRE"
"01068","OAKHAM, MA","G",78,"H",852,"G",3913,29,"OAKHAM","MA","WORCESTER"
"01069","PALMER, MA","H",3278,"H",39443,"H",157682,243,"PALMER","MA","HAMPDEN"
"01070","PLAINFIELD, MA","G",22,"H",90,"J",359,9,"PLAINFIELD","MA","HAMPSHIRE"
"01071","RUSSELL, MA","J",90,"G",503,"G",2329,19,"RUSSELL","MA","HAMPDEN"
"01072","SHUTESBURY, MA","G",88,"G",563,"G",3200,21,"SHUTESBURY","MA","FRANKLIN"
"01073","SOUTHAMPTON, MA","H",1181,"H",10839,"H",45697,121,"SOUTHAMPTON","MA","HAMPSHIRE"
"01074","SOUTH BARRE, MA","J",50,"J",449,"J",2454,10,"SOUTH BARRE","MA","WORCESTER"
"01075","SOUTH HADLEY, MA","H",4529,"G",41316,"G",158574,310,"SOUTH HADLEY","MA","HAMPSHIRE"
"01077","SOUTHWICK, MA","G",2166,"G",20585,"G",81064,222,"SOUTHWICK","MA","HAMPDEN"
"01079","THORNDIKE, MA","G",68,"G",626,"G",2927,11,"THORNDIKE","MA","HAMPDEN"
"01080","THREE RIVERS, MA","H",360,"H",4040,"G",13311,41,"THREE RIVERS","MA","HAMPDEN"
"01081","WALES, MA","G",82,"G",465,"G",2001,18,"WALES","MA","HAMPDEN"
"01082","WARE, MA","G",1989,"H",22098,"H",84357,169,"WARE","MA","HAMPSHIRE"
"01083","WARREN, MA","G",219,"H",3306,"H",10470,35,"WARREN","MA","WORCESTER"
"01085","WESTFIELD, MA","G",13616,"G",164788,"G",671966,826,"WESTFIELD","MA","HAMPDEN"
"01086","WESTFIELD, MA","J",830,"J",6881,"J",36092,17,"WESTFIELD","MA","HAMPDEN"
"01088","WEST HATFIELD, MA","G",284,"G",3051,"G",13147,27,"WEST HATFIELD","MA","HAMPSHIRE"
"01089","WEST SPRINGFIELD, MA","G",15190,"G",158803,"G",615378,924,"WEST SPRINGFIELD","MA","HAMPDEN"
"01090","WEST SPRINGFIELD, MA","H",119,"G",1371,"G",7776,18,"WEST SPRINGFIELD","MA","HAMPDEN"
"01092","WEST WARREN, MA","J",83,"J",645,"J",2731,15,"WEST WARREN","MA","WORCESTER"
"01093","WHATELY, MA","J",1125,"H",7408,"J",32467,33,"WHATELY","MA","FRANKLIN"
"01095","WILBRAHAM, MA","G",3933,"G",36498,"G",140566,295,"WILBRAHAM","MA","HAMPDEN"
"01096","WILLIAMSBURG, MA","H",240,"G",1819,"G",7630,48,"WILLIAMSBURG","MA","HAMPSHIRE"
"01098","WORTHINGTON, MA","G",101,"H",834,"H",3463,18,"WORTHINGTON","MA","HAMPSHIRE"
"01101","SPRINGFIELD, MA","H",161,"G",1163,"G",4700,10,"SPRINGFIELD","MA","HAMPDEN"
"01102","SPRINGFIELD, MA","H",2757,"H",48806,"H",200523,15,"SPRINGFIELD","MA","HAMPDEN"
"01103","SPRINGFIELD, MA","H",7550,"H",93405,"H",318120,406,"SPRINGFIELD","MA","HAMPDEN"
"01104","SPRINGFIELD, MA","H",16217,"H",251253,"H",1012572,504,"SPRINGFIELD","MA","HAMPDEN"
"01105","SPRINGFIELD, MA","G",6708,"G",65485,"G",250452,268,"SPRINGFIELD","MA","HAMPDEN"
"01106","LONGMEADOW, MA","H",3829,"H",32710,"H",132205,275,"LONGMEADOW","MA","HAMPDEN"
"01107","SPRINGFIELD, MA","G",2597,"G",43502,"G",184492,146,"SPRINGFIELD","MA","HAMPDEN"
"01108","SPRINGFIELD, MA","G",2373,"G",17315,"G",70115,254,"SPRINGFIELD","MA","HAMPDEN"
"01109","SPRINGFIELD, MA","H",7855,"H",56703,"H",219986,304,"SPRINGFIELD","MA","HAMPDEN"
"01111","SPRINGFIELD, MA","J",3731,"J",187356,"J",431980,8,"SPRINGFIELD","MA","HAMPDEN"
"01115","SPRINGFIELD, MA","H",692,"G",18234,"G",55522,44,"SPRINGFIELD","MA","HAMPDEN"
"01118","SPRINGFIELD, MA","G",1398,"G",12538,"G",47398,134,"SPRINGFIELD","MA","HAMPDEN"
"01119","SPRINGFIELD, MA","H",3812,"H",29002,"H",112147,151,"SPRINGFIELD","MA","HAMPDEN"
"01128","SPRINGFIELD, MA","G",840,"G",5637,"G",22506,51,"SPRINGFIELD","MA","HAMPDEN"
"01129","SPRINGFIELD, MA","G",1880,"G",12929,"G",49626,147,"SPRINGFIELD","MA","HAMPDEN"
"01138","SPRINGFIELD, MA","G",16,"H",128,"H",572,4,"SPRINGFIELD","MA","HAMPDEN"
"01144","SPRINGFIELD, MA","H",1304,"H",31284,"H",102240,47,"SPRINGFIELD","MA","HAMPDEN"
"01151","INDIAN ORCHARD, MA","G",2253,"H",36522,"H",143487,139,"INDIAN ORCHARD","MA","HAMPDEN"
"01199","SPRINGFIELD, MA","J",7726,"J",114165,"J",441496,9,"SPRINGFIELD","MA","HAMPDEN"
"01201","PITTSFIELD, MA","G",23513,"G",311403,"G",1254760,1237,"PITTSFIELD","MA","BERKSHIRE"
"01202","PITTSFIELD, MA","H",258,"H",4292,"H",16977,26,"PITTSFIELD","MA","BERKSHIRE"
"01220","ADAMS, MA","G",1419,"G",14667,"G",60493,155,"ADAMS","MA","BERKSHIRE"
"01222","ASHLEY FALLS, MA","J",37,"J",434,"H",1509,13,"ASHLEY FALLS","MA","BERKSHIRE"
"01223","BECKET, MA","H",242,"H",1984,"H",7886,44,"BECKET","MA","BERKSHIRE"
"01224","BERKSHIRE, MA","G",13,"H",134,"H",600,3,"BERKSHIRE","MA","BERKSHIRE"
"01225","CHESHIRE, MA","H",402,"H",4064,"H",18382,49,"CHESHIRE","MA","BERKSHIRE"
"01226","DALTON, MA","G",1228,"H",14608,"H",58620,120,"DALTON","MA","BERKSHIRE"
"01227","DALTON, MA","H",24,"J",127,"J",754,5,"DALTON","MA","BERKSHIRE"
"01229","GLENDALE, MA","J",10,"H",49,"H",754,4,"GLENDALE","MA","BERKSHIRE"
"01230","GREAT BARRINGTON, MA","G",4677,"G",50897,"G",199543,405,"GREAT BARRINGTON","MA","BERKSHIRE"
"01235","HINSDALE, MA","H",117,"G",1098,"G",5436,46,"HINSDALE","MA","BERKSHIRE"
"01236","HOUSATONIC, MA","H",435,"H",3709,"H",15906,47,"HOUSATONIC","MA","BERKSHIRE"
"01237","LANESBOROUGH, MA","G",1280,"G",9168,"G",32917,93,"LANESBOROUGH","MA","BERKSHIRE"
"01238","LEE, MA","G",2936,"G",26320,"G",116863,249,"LEE","MA","BERKSHIRE"
"01240","LENOX, MA","G",3426,"G",30185,"G",120072,239,"LENOX","MA","BERKSHIRE"
"01242","LENOX DALE, MA","H",127,"H",1083,"H",4021,13,"LENOX DALE","MA","BERKSHIRE"
"01243","MIDDLEFIELD, MA","G",30,"H",214,"J",903,7,"MIDDLEFIELD","MA","HAMPSHIRE"
"01244","MILL RIVER, MA","J",64,"J",681,"J",3329,4,"MILL RIVER","MA","BERKSHIRE"
"01245","MONTEREY, MA","J",107,"J",808,"J",4004,19,"MONTEREY","MA","BERKSHIRE"
"01247","NORTH ADAMS, MA","G",4116,"G",35103,"G",136084,317,"NORTH ADAMS","MA","BERKSHIRE"
"01252","NORTH EGREMONT, MA","J",5,"J",49,"J",330,6,"NORTH EGREMONT","MA","BERKSHIRE"
"01253","OTIS, MA","H",135,"G",965,"G",4034,29,"OTIS","MA","BERKSHIRE"
"01254","RICHMOND, MA","J",73,"G",557,"G",2593,26,"RICHMOND","MA","BERKSHIRE"
"01255","SANDISFIELD, MA","J",102,"J",1155,"H",5708,24,"SANDISFIELD","MA","BERKSHIRE"
"01256","SAVOY, MA","G",21,"G",231,"G",979,8,"SAVOY","MA","BERKSHIRE"
"01257","SHEFFIELD, MA","G",1090,"H",13393,"H",52665,119,"SHEFFIELD","MA","BERKSHIRE"
"01258","SOUTH EGREMONT, MA","G",333,"G",2200,"G",6995,31,"SOUTH EGREMONT","MA","BERKSHIRE"
"01259","SOUTHFIELD, MA","H",106,"H",1064,"H",5211,25,"SOUTHFIELD","MA","BERKSHIRE"
"01260","SOUTH LEE, MA","H",327,"H",5247,"H",17747,11,"SOUTH LEE","MA","BERKSHIRE"
"01262","STOCKBRIDGE, MA","G",1558,"G",14378,"G",51799,84,"STOCKBRIDGE","MA","BERKSHIRE"
"01264","TYRINGHAM, MA","G",1,"G",4,"J",110,3,"TYRINGHAM","MA","BERKSHIRE"
"01266","WEST STOCKBRIDGE, MA","G",132,"H",1514,"H",7560,46,"WEST STOCKBRIDGE","MA","BERKSHIRE"
"01267","WILLIAMSTOWN, MA","H",3379,"H",44093,"G",196723,198,"WILLIAMSTOWN","MA","BERKSHIRE"
"01270","WINDSOR, MA","J",40,"H",361,"H",1515,12,"WINDSOR","MA","BERKSHIRE"
"01301","GREENFIELD, MA","G",8003,"G",82130,"G",321148,532,"GREENFIELD","MA","FRANKLIN"
"01302","GREENFIELD, MA","H",199,"H",2227,"H",9232,13,"GREENFIELD","MA","FRANKLIN"
"01330","ASHFIELD, MA","J",106,"H",638,"G",2509,27,"ASHFIELD","MA","FRANKLIN"
"01331","ATHOL, MA","G",3211,"G",30334,"G",122528,215,"ATHOL","MA","WORCESTER"
"01337","BERNARDSTON, MA","G",480,"G",3408,"G",13050,50,"BERNARDSTON","MA","FRANKLIN"
"01338","BUCKLAND, MA","G",84,"H",588,"H",2090,12,"BUCKLAND","MA","FRANKLIN"
"01339","CHARLEMONT, MA","H",236,"J",1873,"J",9507,28,"CHARLEMONT","MA","FRANKLIN"
"01340","COLRAIN, MA","G",143,"H",1346,"G",5262,19,"COLRAIN","MA","FRANKLIN"
"01341","CONWAY, MA","H",117,"G",1154,"G",4742,24,"CONWAY","MA","FRANKLIN"
"01342","DEERFIELD, MA","H",838,"J",9686,"H",41068,28,"DEERFIELD","MA","FRANKLIN"
"01344","ERVING, MA","H",311,"H",3669,"H",13674,22,"ERVING","MA","FRANKLIN"
